,Region,Major region,Year,variable,value
0,County Durham,North East,2014,Total admissions,2240
1,Darlington,North East,2014,Total admissions,283
2,Gateshead,North East,2014,Total admissions,1229
3,Hartlepool,North East,2014,Total admissions,484
4,Middlesbrough,North East,2014,Total admissions,422
5,Newcastle,North East,2014,Total admissions,2300
6,North Tyneside,North East,2014,Total admissions,2692
7,Northumberland,North East,2014,Total admissions,4377
8,Redcar & Cleveland,North East,2014,Total admissions,416
9,South Tyneside,North East,2014,Total admissions,649
10,Stockton-On-Tees,North East,2014,Total admissions,796
11,Sunderland,North East,2014,Total admissions,1521
12,"Ashton, Leigh & Wigan",North West,2014,Total admissions,1943
13,Blackburn With Darwen,North West,2014,Total admissions,865
14,Blackpool,North West,2014,Total admissions,602
15,Bolton,North West,2014,Total admissions,936
16,Bury,North West,2014,Total admissions,727
17,Central & Eastern Cheshire,North West,2014,Total admissions,2496
18,Central Lancashire,North West,2014,Total admissions,4407
19,Cumbria,North West,2014,Total admissions,2489
20,East Lancashire,North West,2014,Total admissions,1952
21,Halton & St. Helens,North West,2014,Total admissions,2208
22,"Heywood, Middleton & Rochdale",North West,2014,Total admissions,921
23,Knowsley,North West,2014,Total admissions,1387
24,Liverpool,North West,2014,Total admissions,3201
25,Manchester,North West,2014,Total admissions,2180
26,North Lancashire,North West,2014,Total admissions,1213
27,Oldham,North West,2014,Total admissions,853
28,Salford,North West,2014,Total admissions,1839
29,Sefton,North West,2014,Total admissions,2343
30,Stockport,North West,2014,Total admissions,1264
31,Tameside,North West,2014,Total admissions,1879
32,Trafford,North West,2014,Total admissions,678
33,Warrington,North West,2014,Total admissions,721
34,Western Cheshire,North West,2014,Total admissions,980
35,Wirral,North West,2014,Total admissions,3466
36,Yorkshire And The Humber,North West,2014,Total admissions,27529
37,Yorkshire And The Humber,North West,2014,Total admissions,27529
38,Barnsley,North West,2014,Total admissions,853
39,Bradford & Airedale,North West,2014,Total admissions,7805
40,Calderdale,North West,2014,Total admissions,1123
41,Doncaster,North West,2014,Total admissions,1105
42,East Riding Of Yorkshire,North West,2014,Total admissions,938
43,Hull,North West,2014,Total admissions,587
44,Kirklees,North West,2014,Total admissions,1571
45,Leeds,North West,2014,Total admissions,3184
46,North East Lincolnshire,North West,2014,Total admissions,1162
47,North Lincolnshire,North West,2014,Total admissions,469
48,North Yorkshire & York,North West,2014,Total admissions,2383
49,Rotherham,North West,2014,Total admissions,1431
50,Sheffield,North West,2014,Total admissions,4116
51,Wakefield District,North West,2014,Total admissions,798
52,Bassetlaw,East Midlands,2014,Total admissions,428
53,Derby,East Midlands,2014,Total admissions,2524
54,Derbyshire,East Midlands,2014,Total admissions,3401
55,Leicester,East Midlands,2014,Total admissions,847
56,Leicestershire,East Midlands,2014,Total admissions,1750
57,Lincolnshire,East Midlands,2014,Total admissions,4246
58,Northampton,East Midlands,2014,Total admissions,1868
59,Nottingham,East Midlands,2014,Total admissions,1118
60,Nottinghamshire,East Midlands,2014,Total admissions,2886
61,Birmingham East & North,West Midlands,2014,Total admissions,1467
62,Coventry,West Midlands,2014,Total admissions,4777
63,Dudley,West Midlands,2014,Total admissions,3329
64,Heart Of Birmingham,West Midlands,2014,Total admissions,2058
65,Herefordshire,West Midlands,2014,Total admissions,530
66,North Staffordshire,West Midlands,2014,Total admissions,588
67,Sandwell,West Midlands,2014,Total admissions,2552
68,Shropshire,West Midlands,2014,Total admissions,1271
69,Solihull,West Midlands,2014,Total admissions,466
70,South Birmingham,West Midlands,2014,Total admissions,2980
71,South Staffordshire,West Midlands,2014,Total admissions,3346
72,Stoke On Trent,West Midlands,2014,Total admissions,949
73,Telford And Wrekin,West Midlands,2014,Total admissions,916
74,Walsall,West Midlands,2014,Total admissions,2024
75,Warwickshire,West Midlands,2014,Total admissions,4510
76,Wolverhampton,West Midlands,2014,Total admissions,1878
77,Worcestershire,West Midlands,2014,Total admissions,6753
78,East Of England,West Midlands,2014,Total admissions,35377
79,East Of England,West Midlands,2014,Total admissions,35377
80,Bedfordshire,West Midlands,2014,Total admissions,2123
81,Cambridgeshire,West Midlands,2014,Total admissions,3313
82,Great Yarmouth & Waveney,West Midlands,2014,Total admissions,1571
83,Hertfordshire,West Midlands,2014,Total admissions,9610
84,Luton,West Midlands,2014,Total admissions,1991
85,Mid Essex,West Midlands,2014,Total admissions,1320
86,Norfolk,West Midlands,2014,Total admissions,4054
87,North East Essex,West Midlands,2014,Total admissions,904
88,Peterborough,West Midlands,2014,Total admissions,781
89,South East Essex,West Midlands,2014,Total admissions,1155
90,South West Essex,West Midlands,2014,Total admissions,2934
91,Suffolk,West Midlands,2014,Total admissions,3818
92,West Essex,West Midlands,2014,Total admissions,1803
93,Barking And Dagenham,London,2014,Total admissions,919
94,Barnet,London,2014,Total admissions,1283
95,Bexley,London,2014,Total admissions,849
96,Brent,London,2014,Total admissions,3883
97,Bromley,London,2014,Total admissions,834
98,Camden,London,2014,Total admissions,726
99,City & Hackney,London,2014,Total admissions,1163
100,Croydon,London,2014,Total admissions,1606
101,Ealing,London,2014,Total admissions,1819
102,Enfield,London,2014,Total admissions,1464
103,Greenwich,London,2014,Total admissions,1019
104,Hammersmith And Fulham,London,2014,Total admissions,555
105,Haringey,London,2014,Total admissions,1276
106,Harrow,London,2014,Total admissions,3017
107,Havering,London,2014,Total admissions,955
108,Hillingdon,London,2014,Total admissions,1798
109,Hounslow,London,2014,Total admissions,637
110,Islington,London,2014,Total admissions,1181
111,Kensington And Chelsea,London,2014,Total admissions,342
112,Kingston,London,2014,Total admissions,468
113,Lambeth,London,2014,Total admissions,1052
114,Lewisham,London,2014,Total admissions,806
115,Newham,London,2014,Total admissions,1542
116,Redbridge,London,2014,Total admissions,1360
117,Richmond Upon Thames,London,2014,Total admissions,315
118,Southwark,London,2014,Total admissions,1061
119,Sutton,London,2014,Total admissions,1557
120,Tower Hamlets,London,2014,Total admissions,636
121,Waltham Forest,London,2014,Total admissions,2361
122,Wandsworth,London,2014,Total admissions,760
123,Westminster,London,2014,Total admissions,648
124,South East Coast,South East,2014,Total admissions,17813
125,Brighton And Hove,South East,2014,Total admissions,1468
126,East Sussex Downs & Weald,South East,2014,Total admissions,1510
127,Eastern & Coastal Kent,South East,2014,Total admissions,2152
128,Hastings & Rother,South East,2014,Total admissions,1097
129,Medway,South East,2014,Total admissions,1644
130,Surrey,South East,2014,Total admissions,2502
131,West Kent,South East,2014,Total admissions,2246
132,Berkshire East,South Central,2014,Total admissions,2758
133,Berkshire West,South Central,2014,Total admissions,1886
134,Buckinghamshire,South Central,2014,Total admissions,2005
