,region,admissions_total,admissions_count_men,admissions_count_women,adm_per_100_000_all,adm_per_male,adm_per_female,year
5,England,365577,123423,242118,678.6808784502424,465.15091654776563,885.84569912726,2015
7,Unknown,84,35,49,.,.,.,2015
9,North East,18824,6340,12484,721.0931625244543,495.9114680700283,937.218239570219,2015
10,Darlington,383,154,229,363.39140005313294,300.6872852233677,422.6651901070506,2015
11,Durham,2521,925,1596,488.60660869025907,365.28634500406747,607.4654304212293,2015
12,Gateshead,1363,440,923,681.5068150681507,448.52648854728386,905.7988792824267,2015
13,Hartlepool,506,172,334,546.0529865645066,380.35426018885033,703.987859371048,2015
14,Middlesbrough,505,165,340,363.46886043515497,241.89646831156267,480.7148512611695,2015
15,Newcastle-Upon-Tyne,2391,786,1605,833.6209691758972,545.0233680502586,1125.4706991942892,2015
16,North Tyneside,2922,924,1998,1445.4469903834738,946.2171793716462,1911.9617224880383,2015
17,Northumberland,4463,1642,2821,1413.2093753760219,1064.5815909076173,1746.0248689398206,2015
18,Redcar And Cleveland,541,170,371,400.9040720293453,259.2846793258598,534.73623522629,2015
19,South Tyneside,637,227,410,428.8811386558582,316.4645197267531,533.8819730194281,2015
20,Stockton-On-Tees,838,263,575,433.75639247189383,277.7073830038858,583.8037607115299,2015
21,Sunderland,1754,472,1282,635.3230947551434,351.2505860377892,904.709145183941,2015
23,North West,55848,19879,35963,786.2305476640304,568.7818614694709,996.6889738978512,2015
24,Blackburn With Darwen,1112,399,713,754.5684641953193,543.9376175805,963.3182463014255,2015
25,Blackpool,703,283,420,497.1711456859972,407.2645636656689,584.04716876182,2015
26,Bolton,1175,496,679,419.55744723395594,357.70434581933046,480.215000530429,2015
27,Bury,898,388,510,481.43164260401977,425.19150055340646,535.2981925813967,2015
28,Cheshire East,1939,478,1461,520.2478086003214,261.81164897521006,768.4094817838039,2015
29,Cheshire West And Chester,3122,908,2214,943.1283343302339,563.1950776254008,1303.8638893305772,2015
30,Cumbria,2750,864,1886,552.1312265344229,352.09115248725504,746.4015608736777,2015
31,Halton,1158,437,721,919.26649202191,710.9043288705243,1117.8467883222995,2015
32,Knowsley,1667,568,1099,1141.1086620210012,817.9016790023903,1433.9770354906054,2015
33,Lancashire,9348,3170,6174,792.1523698473657,545.4476628341943,1030.8865223358746,2015
34,Liverpool,3820,1299,2521,811.419346616254,558.3710523940321,1058.62542464695,2015
35,Manchester,2722,901,1819,529.1426994053462,346.5771182170319,714.8864592094197,2015
36,Oldham Metropolitian,1287,596,691,566.1821637221088,533.0995804971421,598.2010682780293,2015
37,Rochdale,1341,585,756,632.1893267961531,562.1054452163385,699.6955028830046,2015
38,Salford,2597,957,1640,1086.5517775183775,799.1382333784258,1375.1582689776033,2015
39,Sefton,2672,957,1715,978.0130084514673,730.551081322473,1205.9630124463822,2015
40,St Helens,1715,618,1097,973.2097763603656,713.3869720301516,1224.4396821144746,2015
41,Stockport,1528,543,985,536.0801594206965,389.5572821384758,676.3112542312367,2015
42,Tameside,1812,540,1272,821.4073627474535,497.86104145154155,1134.3672246350316,2015
43,Trafford,857,303,554,372.3189343945364,269.0320174737627,471.2767857902393,2015
44,Warrington,976,456,520,475.84455094608234,448.28060793142095,502.96458935843,2015
45,Wigan,1754,497,1257,548.6565109950265,313.23858443891214,780.6241266884025,2015
46,Wirral,8895,3636,5259,2777.127335737367,2357.2581638540782,3167.156484871844,2015
48,Yorkshire And The Humber,36507,11130,25375,683.9449876445142,423.1977782306759,937.1304566844453,2015
49,Barnsley,808,339,469,342.72577272360945,291.7107674832847,392.31760159269237,2015
50,Calderdale,1424,392,1032,690.0729325676625,387.8231447312445,980.2617830885846,2015
51,City Of Bradford,9809,3254,6555,1863.5215979664458,1255.0042039169707,2454.256478226196,2015
52,Doncaster,955,371,584,314.5358373240411,247.1471491476421,380.43372049847244,2015
53,East Riding Of Yorkshire,1429,466,963,425.28875886514265,282.9747569514024,562.0797534553604,2015
54,Kingston-Upon-Hull,1119,268,851,434.41296018075303,207.49618687044648,662.6177684341665,2015
55,Kirklees,2303,716,1587,537.7335802128986,338.41427389814487,732.3353514471353,2015
56,Leeds,5094,1160,3934,668.9595669491425,310.5282460240338,1014.1161670842741,2015
57,North East Lincolnshire,1965,490,1473,1229.4543475132486,625.1275770565422,1808.626892427833,2015
58,North Lincolnshire,1112,253,859,658.9239156198151,303.79078061022324,1004.9251863030686,2015
59,North Yorkshire,2703,1056,1647,448.44537278369603,355.16332131518055,539.2556503973204,2015
60,Rotherham,1700,516,1184,657.159755536571,405.89331927914606,899.9559143217647,2015
61,Sheffield,3041,727,2314,542.9533017309873,261.95743822200444,818.9440081540492,2015
62,Wakefield,1988,806,1182,602.9577686922975,497.77667984189725,704.4603904927646,2015
63,York,1057,316,741,522.1480687437324,319.97731806352965,714.7266484046453,2015
65,East Midlands,25932,7899,18032,563.8949370576087,348.26629607617326,773.6940587487455,2015
66,Derby,2375,202,2173,944.6232047187409,162.26724290281638,1711.8728187998772,2015
67,Derbyshire,4879,1209,3670,628.6075036075035,316.8903334032292,929.9614838840462,2015
68,Leicester,953,360,593,285.49003630786194,217.87810930218484,351.75760164193093,2015
69,Leicestershire,2062,845,1217,311.6804595095038,258.21000876997306,364.02031574350474,2015
70,Lincolnshire,5750,1850,3899,793.7022829638362,523.5350216630302,1050.6998377734542,2015
71,Northamptonshire,3514,1295,2219,497.2779902836918,371.714133174123,619.3808424584312,2015
72,Nottingham,1954,589,1365,628.6252923558006,375.7959345132518,885.7712049732971,2015
73,Nottinghamshire,4324,1498,2826,543.0687150220543,382.24914580840084,698.9426822481914,2015
74,Rutland,121,51,70,321.7571664096155,265.27958387516253,380.8280289429302,2015
76,West Midlands,45682,14083,31598,805.0100163673504,502.32400201314823,1100.5373121436305,2015
77,Birmingham,7661,1691,5970,701.344831690057,313.8030667708347,1078.67458537881,2015
78,Coventry,4909,1471,3438,1488.4327339983627,891.3098801488143,2086.519554293205,2015
79,Dudley,3803,1019,2784,1209.5017285411238,659.4957025991508,1740.9248663352407,2015
80,Herefordshire,563,288,275,302.54665828349107,313.6981526664343,291.6874383478824,2015
81,Sandwell,2458,734,1724,781.9832086762596,473.740939865881,1081.6101184501103,2015
82,Shropshire,1713,469,1244,555.1468562743261,306.54396193364533,799.6348933927275,2015
83,Solihull,715,206,509,342.3329391317671,203.21794631494834,473.5236110594277,2015
84,Staffordshire,4803,1557,3246,560.4388295544844,366.0867745568516,751.9145328447202,2015
85,Stoke-On-Trent,858,248,610,342.8886570993538,199.15199794423745,485.28627912712113,2015
86,Telford And Wrekin,1309,253,1056,777.0759622919288,302.9069489009147,1243.4061793519218,2015
87,Walsall,1419,508,911,521.3825639970458,379.6569634916483,658.446326866923,2015
88,Warwickshire,5354,1921,3433,975.7093209945164,709.2486616208233,1235.4298093774628,2015
89,Wolverhampton,1287,492,795,511.6136700628486,395.65741857659833,624.9656072385953,2015
90,Worcestershire,8830,3226,5603,1543.2530305784314,1145.3118898001205,1928.756824487604,2015
92,East Of England,40989,15096,25888,688.4084076216177,515.3164642517978,855.8845534460032,2015
93,Bedford,685,275,410,424.45873765351774,346.1514255145069,500.38444170521257,2015
94,Cambridgeshire,3397,1629,1768,537.4192170480703,516.9196791226645,557.800851214195,2015
95,Central Bedfordshire,2275,775,1499,860.0223794834574,592.0007333170374,1121.8716321398636,2015
96,Essex,7053,2694,4359,497.9507979709193,389.55686821727846,601.3657998206526,2015
97,Hertfordshire,10970,3880,7087,961.6851318394047,694.6682422028861,1217.350377727315,2015
98,Luton,3429,907,2522,1648.6448802580906,866.0033990872115,2442.496731393153,2015
99,Norfolk,4957,1863,3094,569.6745143918376,436.7887236766216,697.4374695688241,2015
100,Peterborough,758,358,400,402.3931242800189,382.53584937918066,421.9987973034277,2015
101,Southend-On-Sea,547,222,324,311.15257283928145,257.79780291241843,361.26845368181614,2015
102,Suffolk,5399,1977,3422,733.6614585173488,543.7503094178544,919.1215969402008,2015
103,Thurrock,1519,516,1003,944.3639686911326,650.4310996823476,1230.4181949777349,2015
105,London,42511,14249,28250,505.0890895124894,342.08533047161876,664.5182536695521,2015
106,Corporation Of The Of London,9,*,*,117.67782426778243,*,*,2015
107,Barking And Dagenham,1197,398,799,615.8928130402568,419.2121339793554,803.7259083410454,2015
108,Barnet,1442,533,909,390.692734524016,295.3252178923864,481.94942977270443,2015
109,Bexley,981,391,590,414.4714327360607,343.2956381260097,480.49124121474705,2015
110,Brent,3467,1027,2438,1092.7807756316506,640.9656300124199,1552.5003661557469,2015
111,Bromley,776,331,445,244.1026867023803,216.83731960248676,269.2889561270802,2015
112,Camden,964,337,627,419.643129214388,296.1882245405567,540.7969639468691,2015
113,Croydon,1959,623,1335,525.5505000643859,344.62348639484003,695.4030472717801,2015
114,Ealing,2297,823,1474,670.6686832470058,479.64006597236386,862.457359850679,2015
115,Enfield,2059,857,1202,642.3855935904955,550.2549022125769,729.4663122504218,2015
116,Greenwich,1144,360,784,433.3202024181085,273.1867231252561,592.9062996294335,2015
117,Hackney,1552,490,1061,603.0017989035624,384.20524400953457,817.1407006923747,2015
118,Hammersmith And Fulham,560,247,313,313.4006771693203,282.9000114534417,342.54445964432284,2015
119,Haringey,1656,498,1158,628.7350124911726,377.64465003412454,880.501231789288,2015
120,Harrow,2563,770,1793,1053.12032608517,637.918893169297,1461.6808106499711,2015
121,Havering,1307,470,837,539.9041639127561,404.3636864202629,665.0880427181997,2015
122,Hillingdon,2266,658,1608,790.081100116455,460.6004606004606,1117.0622928954003,2015
123,Hounslow,762,294,468,290.38859481644926,221.9873150105708,360.09140781890784,2015
124,Islington,1548,470,1078,717.7732337353419,438.8831823699692,992.8437882792856,2015
125,Lambeth,1216,377,839,386.9629139325743,239.85239852398524,534.1839528339127,2015
126,Lewisham,829,266,558,289.6778251450136,189.13403630520259,383.4023869890545,2015
127,Merton,702,256,446,345.43334169852824,256.32553342745285,431.54329946782775,2015
128,Newham,1598,513,1084,502.1572650969277,309.9679156017184,709.7678194937339,2015
129,Redbridge,1510,547,962,523.8108453127602,384.05369730670935,659.6088971778064,2015
130,Richmond Upon Thames,328,139,189,171.4002037990228,149.40292571772522,192.21381498657553,2015
131,Southwark,1350,429,921,452.31585718880666,290.8612612123965,610.050936934908,2015
132,Sutton,934,265,669,476.7397939912411,278.03716255206643,664.9901096388776,2015
133,Tower Hamlets,893,272,621,327.2380812781707,193.43460203675258,469.4800187489605,2015
134,Waltham Forest,2251,793,1457,846.8869099350255,597.6245742019112,1094.624544532512,2015
135,Wandsworth,801,290,511,257.9577219853405,194.1656567820725,317.0781650419772,2015
136,Royal Of Kensington And Chelsea,394,123,271,253.22313199737778,160.12497559070493,344.00030464971627,2015
137,Royal Of Kingston-Upon-Thames,357,148,209,214.0377593783912,181.20821803756397,245.53859890271266,2015
138,Westminster,839,249,590,369.86259097782147,213.56891671669956,535.1425383896745,2015
140,South East,51102,18228,32865,581.1915575619844,421.5843411530429,735.4099499299163,2015
141,Bracknell Forest,812,334,478,696.5950912350837,576.7570367812123,814.9070017218747,2015
142,Brighton And Hove,1501,525,976,539.7106201817973,377.1524629851797,702.6081447833504,2015
143,Buckinghamshire,2511,1170,1338,486.5373883928571,462.1528422399798,508.87488447627345,2015
144,East Sussex,2921,1142,1778,546.5922657475085,442.8261771537367,643.0077428547663,2015
145,Hampshire,6775,2319,4456,506.4549647537246,354.12527697055674,652.5333259137443,2015
146,Isle Of Wight,824,332,492,595.4058370004263,491.26233704739496,694.7974919505169,2015
147,Kent,7824,3076,4745,523.8658946161798,420.57940418829264,622.5890256383342,2015
148,Medway,3363,1097,2266,1240.4787812840043,815.825679544863,1658.3723653395784,2015
149,Milton Keynes,1641,489,1152,641.7877759179012,386.5459863246512,891.730592087439,2015
150,Oxfordshire,2718,747,1970,408.057866749139,225.99382828099473,587.1098103963141,2015
151,Portsmouth,1009,360,649,486.3588161573315,343.0597114486649,633.0348608103627,2015
152,Reading,1162,383,779,729.6840756811745,478.22992495660975,984.0828701364326,2015
153,Royal Of Windsor & Maidenhead,1320,526,794,902.0398400929374,727.3531811330669,1072.7120430165635,2015
154,Slough,1806,578,1228,1262.7251370399374,806.6767152347456,1720.5626856470324,2015
155,Southampton,3201,1068,2133,1321.9570415584308,869.6501856556577,1787.435160433409,2015
156,Surrey,3142,920,2222,272.7160680279903,162.78892822954654,378.5574949102587,2015
157,West Berkshire District,908,305,603,584.328665568369,395.67738671302357,770.0264337432478,2015
158,West Sussex,6794,2542,4251,827.1687307330805,638.4223784372967,1004.5204602220768,2015
159,Wokingham,870,315,555,551.1003002546463,403.8047379755922,694.9835958826918,2015
161,South West,48098,16484,31614,894.4146965325579,624.3045503333235,1154.9687145739633,2015
162,Bath And North East Somerset,1200,408,792,666.3076009039573,461.2775579423403,864.1854070509673,2015
163,Borough Of Poole,1377,411,966,924.1052553872585,562.2896544175993,1272.475795297372,2015
164,Bournemouth,1608,562,1046,851.9972659789225,593.0209245639396,1113.1922864075602,2015
165,Bristol,4495,1545,2950,1027.4473590374225,707.0776412439075,1347.1119290186175,2015
166,Cornwall,9613,3060,6553,1775.8475132038595,1164.5519519565235,2352.480820801488,2015
167,Devon,4991,1855,3136,658.3981046155145,503.0603970787242,805.5297976671488,2015
168,Dorset,3154,1108,2046,756.8613052857908,544.584140215671,959.3787951965414,2015
169,Gloucestershire,1477,675,802,243.86861145142277,227.23447231105874,259.87997563220176,2015
170,North Somerset District,1695,628,1067,822.276663351687,626.577668692069,1007.4781886165351,2015
171,Plymouth,5005,1733,3272,1931.1276164753547,1348.32334863456,2504.4969191319988,2015
172,Somerset,4234,1207,3027,786.8367453131737,459.7026976588298,1098.5581197852966,2015
173,South Gloucestershire,2209,861,1348,820.8630767687201,645.4272863568216,993.3164833059459,2015
174,Swindon,1195,425,770,558.3146839097914,397.9251713418973,718.062536719107,2015
175,The Of The Isles Of Scilly,27,10,17,1199.4669035984007,881.8342151675485,1521.933751119069,2015
176,Torbay,1872,657,1215,1417.3764906303238,1030.0711799567275,1779.098882755187,2015
177,Wiltshire,3946,1339,2607,822.7106502041139,564.7191797865117,1074.9407277600246,2015
6,England,440288,149490,290747,810.5953872164869,558.3569477472918,1055.5950527861062,2016
8,Unknown,139,71,68,.,.,.,2016
10,North East,19414,6574,12840,741.3573858884719,512.3065797184574,961.4419832661173,2016
11,Darlington,348,144,204,330.274184516974,281.37090155926376,376.46016719260365,2016
12,Durham,2553,992,1561,493.0732193451571,390.22701614013556,592.2705094057565,2016
13,Gateshead,1450,411,1039,723.1739856861425,417.48351905085985,1018.0485606223913,2016
14,Hartlepool,530,204,326,572.4160276487742,451.2575486097286,688.0104678893274,2016
15,Middlesbrough,661,238,423,475.13279997699806,348.1058943981279,597.8883093753975,2016
16,Newcastle-Upon-Tyne,2287,679,1608,789.0696430727827,464.7597144362992,1118.7020829564904,2016
17,North Tyneside,2926,961,1965,1443.1993055281537,981.0527175466536,1875.2147192426612,2016
18,Northumberland,4456,1624,2832,1410.1845962017424,1052.454214353298,1751.5972810658025,2016
19,Redcar And Cleveland,625,216,409,462.818974837458,329.15288846898187,589.1758740402483,2016
20,South Tyneside,738,244,494,496.16780960064546,339.60583453958355,642.4595536596785,2016
21,Stockton-On-Tees,958,311,647,493.51171188806865,327.0895341866409,653.2845978311356,2016
22,Sunderland,1882,550,1332,679.6947513263439,407.7335942828337,938.0479869293014,2016
24,North West,70380,24718,45654,986.682865574904,703.9473796628183,1260.585992734249,2016
25,Blackburn With Darwen,1661,514,1146,1131.9108918312968,702.8290922018788,1556.85368835756,2016
26,Blackpool,745,286,459,530.2453363321257,413.99475992646524,642.6951188775938,2016
27,Bolton,1803,759,1044,642.9205638302805,546.1846233556893,737.9395652942217,2016
28,Bury,1122,471,651,598.4829896412302,513.4578277790496,679.9452701502981,2016
29,Cheshire East,2218,644,1574,592.7644255824084,351.44205844634234,824.3686299978002,2016
30,Cheshire West And Chester,4128,1038,3090,1242.5875199422053,641.3900491855953,1813.6570133940625,2016
31,Cumbria,3365,1079,2286,675.8738154633502,439.9466681888794,904.9272218417605,2016
32,Halton,1351,501,850,1069.2182281526505,812.6257055732174,1313.7151865475564,2016
33,Knowsley,1882,665,1217,1285.4576625434577,955.528414397586,1584.3878560641567,2016
34,Lancashire,11245,3699,7541,949.1574065086285,633.7159499743019,1254.6690292578635,2016
35,Liverpool,3765,1382,2383,795.8602583533619,590.3207893725172,997.2255118993317,2016
36,Manchester,4092,1120,2971,786.5978489662928,425.7761861858437,1155.2849132466968,2016
37,Oldham Metropolitian,1602,758,844,700.2819487246738,674.0174284189934,725.6781737672499,2016
38,Rochdale,1566,690,876,735.3424554615377,659.2524650309562,808.8792036787383,2016
39,Salford,4497,1576,2921,1857.9573624194347,1296.3084819372245,2424.7908088723602,2016
40,Sefton,2910,1071,1839,1063.864790462507,816.155458182511,1292.2856379913705,2016
41,St Helens,2110,804,1306,1190.825563807933,924.3397983467653,1447.7812143181793,2016
42,Stockport,2340,894,1445,816.0276193963489,637.2741205403286,986.5501467877382,2016
43,Tameside,2205,714,1491,998.7724837048344,658.2040432534086,1327.76461787807,2016
44,Trafford,1490,528,962,640.9760042674376,463.3855227129116,811.7184467657829,2016
45,Warrington,1297,633,664,628.306237525917,618.1278440716364,638.3265078541078,2016
46,Wigan,3700,1375,2325,1152.7377521613832,863.248829120679,1437.9101136103604,2016
47,Wirral,9286,3517,5769,2893.6101260773917,2273.6235107022567,3470.555324947211,2016
49,Yorkshire And The Humber,47064,13926,33132,878.0552784528884,527.2196150229196,1218.7052048040498,2016
50,Barnsley,881,375,506,370.41241491235814,319.7285291635049,419.7219549421016,2016
51,Calderdale,1411,423,988,680.4066044286707,416.24435413243066,934.2524561950961,2016
52,City Of Bradford,10070,3081,6989,1906.6372561085288,1183.8389272060094,2608.8092571855173,2016
53,Doncaster,1244,506,736,408.9616516264773,336.0295387230878,479.1573081254923,2016
54,East Riding Of Yorkshire,1716,495,1221,509.0251101256248,299.6984851603841,710.0942721388319,2016
55,Kingston-Upon-Hull,1277,286,991,495.5182181521866,221.15682029075165,771.8669678323857,2016
56,Kirklees,3574,915,2659,829.1958609809291,429.24897848125613,1220.5253905084528,2016
57,Leeds,6453,1736,4715,841.9896163747603,461.697215987064,1207.7511238617299,2016
58,North East Lincolnshire,2058,506,1552,1287.8275887962754,645.5234353073253,1906.212385467587,2016
59,North Lincolnshire,1033,226,806,610.3505527424416,270.376972495723,940.9292551949567,2016
60,North Yorkshire,4749,1763,2985,789.4789339291414,595.5397015207712,977.0803464461771,2016
61,Rotherham,2109,641,1468,810.9355173607106,501.65522746660196,1109.6581073828547,2016
62,Sheffield,3809,903,2906,675.6553004972071,323.02491548766744,1022.5049612250355,2016
63,Wakefield,5006,1536,3470,1510.6569818847904,943.639647609569,2058.0647074523295,2016
64,York,1674,534,1140,818.8261535225666,534.5291838920532,1090.5125408942204,2016
66,East Midlands,34839,11451,23381,751.2593767257737,500.46720761937394,995.2110178513129,2016
67,Derby,2658,325,2333,1052.8275430459116,259.92722037829407,1830.8378064475626,2016
68,Derbyshire,6902,1959,4941,885.0942031587424,511.34539436763094,1245.5350053063169,2016
69,Leicester,1188,443,745,351.8404989737985,264.74314536370804,437.4093623217337,2016
