"LA code","region","admissions_total","admissions_count_men","admissions_count_women","adm_per_100_000_all","adm_per_male","adm_per_female","yr"
"E","England","365577","123423","242118","678.6808784502424","465.15091654776563","885.84569912725999",2015
"U","Unknown","84","35","49",".",".",".",2015
"A","North East","18824","6340","12484","721.09316252445433","495.91146807002832","937.218239570219",2015
"117","Darlington","383","154","229","363.39140005313294","300.68728522336772","422.66519010705059",2015
"116","Durham","2521","925","1596","488.60660869025907","365.28634500406747","607.46543042122926",2015
"106","Gateshead","1363","440","923","681.50681506815067","448.52648854728386","905.7988792824267",2015
"111","Hartlepool","506","172","334","546.05298656450657","380.35426018885033","703.98785937104799",2015
"112","Middlesbrough","505","165","340","363.46886043515497","241.89646831156267","480.71485126116949",2015
"107","Newcastle-upon-Tyne","2391","786","1605","833.62096917589724","545.02336805025857","1125.4706991942892",2015
"108","North Tyneside","2922","924","1998","1445.4469903834738","946.21717937164624","1911.9617224880383",2015
"104","Northumberland","4463","1642","2821","1413.2093753760219","1064.5815909076173","1746.0248689398206",2015
"113","Redcar And Cleveland","541","170","371","400.90407202934529","259.28467932585983","534.73623522628998",2015
"109","South Tyneside","637","227","410","428.88113865585819","316.46451972675311","533.88197301942807",2015
"114","Stockton-on-Tees","838","263","575","433.75639247189383","277.70738300388581","583.80376071152989",2015
"110","Sunderland","1754","472","1282","635.32309475514342","351.25058603778922","904.70914518394102",2015
"B","North West","55848","19879","35963","786.23054766403038","568.78186146947087","996.68897389785116",2015
"324","Blackburn with Darwen","1112","399","713","754.56846419531928","543.93761758050005","963.31824630142546",2015
"325","Blackpool","703","283","420","497.1711456859972","407.2645636656689","584.04716876181999",2015
"304","Bolton","1175","496","679","419.55744723395594","357.70434581933046","480.21500053042899",2015
"305","Bury","898","388","510","481.43164260401977","425.19150055340646","535.29819258139673",2015
"326","Cheshire East","1939","478","1461","520.24780860032138","261.81164897521006","768.40948178380393",2015
"327","Cheshire West and Chester","3122","908","2214","943.12833433023388","563.19507762540081","1303.8638893305772",2015
"102","Cumbria","2750","864","1886","552.13122653442292","352.09115248725504","746.40156087367768",2015
"321","Halton","1158","437","721","919.26649202191004","710.9043288705243","1117.8467883222995",2015
"315","Knowsley","1667","568","1099","1141.1086620210012","817.90167900239032","1433.9770354906054",2015
"323","Lancashire","9348","3170","6174","792.15236984736566","545.44766283419426","1030.8865223358746",2015
"316","Liverpool","3820","1299","2521","811.41934661625396","558.37105239403206","1058.62542464695",2015
"306","Manchester","2722","901","1819","529.14269940534621","346.57711821703191","714.88645920941974",2015
"307","Oldham","1287","596","691","566.18216372210884","533.09958049714214","598.20106827802931",2015
"308","Rochdale","1341","585","756","632.18932679615307","562.10544521633847","699.69550288300456",2015
"309","Salford","2597","957","1640","1086.5517775183775","799.13823337842575","1375.1582689776033",2015
"317","Sefton","2672","957","1715","978.01300845146727","730.55108132247301","1205.9630124463822",2015
"318","St Helens","1715","618","1097","973.20977636036559","713.38697203015158","1224.4396821144746",2015
"310","Stockport","1528","543","985","536.08015942069653","389.55728213847578","676.31125423123672",2015
"311","Tameside","1812","540","1272","821.40736274745348","497.86104145154155","1134.3672246350316",2015
"312","Trafford","857","303","554","372.31893439453643","269.03201747376272","471.27678579023927",2015
"322","Warrington","976","456","520","475.84455094608234","448.28060793142095","502.96458935842998",2015
"313","Wigan","1754","497","1257","548.65651099502645","313.23858443891214","780.6241266884025",2015
"319","Wirral","8895","3636","5259","2777.127335737367","2357.2581638540782","3167.156484871844",2015
"D","Yorkshire and the Humber","36507","11130","25375","683.94498764451419","423.19777823067591","937.13045668444533",2015
"204","Barnsley","808","339","469","342.72577272360945","291.71076748328471","392.31760159269237",2015
"210","Calderdale","1424","392","1032","690.07293256766252","387.8231447312445","980.26178308858459",2015
"209","Cityof Bradford","9809","3254","6555","1863.5215979664458","1255.0042039169707","2454.2564782261961",2015
"205","Doncaster","955","371","584","314.5358373240411","247.1471491476421","380.43372049847244",2015
"214","East Riding of Yorkshire","1429","466","963","425.28875886514265","282.97475695140241","562.07975345536045",2015
"215","Kingston-upon-Hull","1119","268","851","434.41296018075303","207.49618687044648","662.61776843416646",2015
"211","Kirklees","2303","716","1587","537.73358021289857","338.41427389814487","732.33535144713528",2015
"212","Leeds","5094","1160","3934","668.95956694914253","310.52824602403382","1014.1161670842741",2015
"216","North East Lincolnshire","1965","490","1473","1229.4543475132486","625.12757705654224","1808.6268924278329",2015
"217","North Lincolnshire","1112","253","859","658.92391561981515","303.79078061022324","1004.9251863030686",2015
"218","North Yorkshire","2703","1056","1647","448.44537278369603","355.16332131518055","539.25565039732044",2015
"206","Rotherham","1700","516","1184","657.15975553657097","405.89331927914606","899.95591432176468",2015
"207","Sheffield","3041","727","2314","542.95330173098728","261.95743822200444","818.94400815404924",2015
"213","Wakefield","1988","806","1182","602.95776869229746","497.77667984189725","704.46039049276465",2015
"219","York","1057","316","741","522.14806874373244","319.97731806352965","714.72664840464529",2015
"E","East Midlands","25932","7899","18032","563.89493705760867","348.26629607617326","773.69405874874553",2015
"507","Derby","2375","202","2173","944.62320471874091","162.26724290281638","1711.8728187998772",2015
"506","Derbyshire","4879","1209","3670","628.60750360750353","316.89033340322919","929.96148388404617",2015
"509","Leicester","953","360","593","285.49003630786194","217.87810930218484","351.75760164193093",2015
"508","Leicestershire","2062","845","1217","311.68045950950381","258.21000876997306","364.02031574350474",2015
"503","Lincolnshire","5750","1850","3899","793.70228296383618","523.53502166303019","1050.6998377734542",2015
"504","Northamptonshire","3514","1295","2219","497.27799028369179","371.71413317412299","619.38084245843118",2015
"512","Nottingham","1954","589","1365","628.62529235580064","375.79593451325178","885.77120497329713",2015
"511","Nottinghamshire","4324","1498","2826","543.06871502205433","382.24914580840084","698.94268224819143",2015
"510","Rutland","121","51","70","321.75716640961548","265.27958387516253","380.82802894293019",2015
"F","West Midlands","45682","14083","31598","805.01001636735043","502.32400201314823","1100.5373121436305",2015
"406","Birmingham","7661","1691","5970","701.34483169005705","313.80306677083468","1078.67458537881",2015
"407","Coventry","4909","1471","3438","1488.4327339983627","891.30988014881427","2086.5195542932051",2015
"408","Dudley","3803","1019","2784","1209.5017285411238","659.49570259915083","1740.9248663352407",2015
"415","Herefordshire","563","288","275","302.54665828349107","313.69815266643428","291.68743834788239",2015
"409","Sandwell","2458","734","1724","781.98320867625955","473.74093986588099","1081.6101184501103",2015
"417","Shropshire","1713","469","1244","555.14685627432607","306.54396193364533","799.63489339272746",2015
"410","Solihull","715","206","509","342.33293913176709","203.21794631494834","473.52361105942771",2015
"413","Staffordshire","4803","1557","3246","560.43882955448441","366.08677455685159","751.91453284472016",2015
"414","Stoke-on-Trent","858","248","610","342.88865709935379","199.15199794423745","485.28627912712113",2015
"418","Telford and Wrekin","1309","253","1056","777.07596229192882","302.9069489009147","1243.4061793519218",2015
"411","Walsall","1419","508","911","521.38256399704585","379.6569634916483","658.44632686692296",2015
"404","Warwickshire","5354","1921","3433","975.70932099451636","709.24866162082333","1235.4298093774628",2015
"412","Wolverhampton","1287","492","795","511.6136700628486","395.65741857659833","624.96560723859534",2015
"416","Worcestershire","8830","3226","5603","1543.2530305784314","1145.3118898001205","1928.756824487604",2015
"G","East of England","40989","15096","25888","688.4084076216177","515.31646425179781","855.88455344600322",2015
"625","Bedford","685","275","410","424.45873765351774","346.15142551450691","500.38444170521257",2015
"623","Cambridgeshire","3397","1629","1768","537.41921704807032","516.91967912266455","557.80085121419495",2015
"626","Central Bedfordshire","2275","775","1499","860.02237948345737","592.00073331703743","1121.8716321398636",2015
"620","Essex","7053","2694","4359","497.95079797091933","389.55686821727846","601.36579982065257",2015
"606","Hertfordshire","10970","3880","7087","961.68513183940468","694.66824220288606","1217.3503777273149",2015
"611","Luton","3429","907","2522","1648.6448802580906","866.00339908721151","2442.4967313931529",2015
"607","Norfolk","4957","1863","3094","569.67451439183765","436.7887236766216","697.4374695688241",2015
"624","Peterborough","758","358","400","402.39312428001892","382.53584937918066","421.99879730342769",2015
