,Region,Major region,Year,variable,quantity
0,County Durham,North East,2014,Total admissions,2240.0
1939,Hounslow,London,2014,Admissions count: women,368.0
1938,Hillingdon,London,2014,Admissions count: women,1221.0
1937,Havering,London,2014,Admissions count: women,535.0
1936,Harrow,London,2014,Admissions count: women,1967.0
1935,Haringey,London,2014,Admissions count: women,868.0
1934,Hammersmith And Fulham,London,2014,Admissions count: women,324.0
1933,Greenwich,London,2014,Admissions count: women,708.0
1932,Enfield,London,2014,Admissions count: women,883.0
1931,Ealing,London,2014,Admissions count: women,1127.0
1940,Islington,London,2014,Admissions count: women,782.0
1930,Croydon,London,2014,Admissions count: women,1080.0
1928,Camden,London,2014,Admissions count: women,461.0
1927,Bromley,London,2014,Admissions count: women,443.0
1926,Brent,London,2014,Admissions count: women,2654.0
1925,Bexley,London,2014,Admissions count: women,547.0
1924,Barnet,London,2014,Admissions count: women,743.0
1923,Barking And Dagenham,London,2014,Admissions count: women,608.0
1922,West Essex,West Midlands,2014,Admissions count: women,1128.0
1921,Suffolk,West Midlands,2014,Admissions count: women,2321.0
1920,South West Essex,West Midlands,2014,Admissions count: women,2067.0
1929,City & Hackney,London,2014,Admissions count: women,759.0
1919,South East Essex,West Midlands,2014,Admissions count: women,699.0
1941,Kensington And Chelsea,London,2014,Admissions count: women,204.0
1943,Lambeth,London,2014,Admissions count: women,723.0
1963,Berkshire East,West Sussex,2014,Admissions count: women,1874.0
1962,South Central,West Sussex,2014,Admissions count: women,12811.0
1961,West Kent,South East,2014,Admissions count: women,1199.0
1960,Surrey,South East,2014,Admissions count: women,1561.0
1959,Medway,South East,2014,Admissions count: women,972.0
1958,Hastings & Rother,South East,2014,Admissions count: women,659.0
1957,Eastern & Coastal Kent,South East,2014,Admissions count: women,1217.0
1956,East Sussex Downs & Weald,South East,2014,Admissions count: women,907.0
1955,Brighton And Hove,South East,2014,Admissions count: women,941.0
1942,Kingston,London,2014,Admissions count: women,269.0
1954,South East Coast,South East,2014,Admissions count: women,10671.0
1952,Wandsworth,London,2014,Admissions count: women,477.0
1951,Waltham Forest,London,2014,Admissions count: women,1603.0
1950,Tower Hamlets,London,2014,Admissions count: women,404.0
1949,Sutton,London,2014,Admissions count: women,1072.0
1948,Southwark,London,2014,Admissions count: women,708.0
1947,Richmond Upon Thames,London,2014,Admissions count: women,176.0
1946,Redbridge,London,2014,Admissions count: women,857.0
1945,Newham,London,2014,Admissions count: women,1117.0
1944,Lewisham,London,2014,Admissions count: women,533.0
1953,Westminster,London,2014,Admissions count: women,385.0
1918,Peterborough,West Midlands,2014,Admissions count: women,452.0
1917,North East Essex,West Midlands,2014,Admissions count: women,478.0
1916,Norfolk,West Midlands,2014,Admissions count: women,2550.0
1890,Nottinghamshire,East Midlands,2014,Admissions count: women,1812.0
1889,Nottingham,East Midlands,2014,Admissions count: women,684.0
1888,Northampton,East Midlands,2014,Admissions count: women,1172.0
1887,Lincolnshire,East Midlands,2014,Admissions count: women,2729.0
1886,Leicestershire,East Midlands,2014,Admissions count: women,1051.0
1885,Leicester,East Midlands,2014,Admissions count: women,542.0
1884,Derbyshire,East Midlands,2014,Admissions count: women,2542.0
1883,Derby,East Midlands,2014,Admissions count: women,2337.0
1882,Bassetlaw,East Midlands,2014,Admissions count: women,225.0
1891,Birmingham East & North,West Midlands,2014,Admissions count: women,1065.0
1881,Wakefield District,North West,2014,Admissions count: women,470.0
1879,Rotherham,North West,2014,Admissions count: women,1022.0
1878,North Yorkshire & York,North West,2014,Admissions count: women,1444.0
1877,North Lincolnshire,North West,2014,Admissions count: women,312.0
1876,North East Lincolnshire,North West,2014,Admissions count: women,899.0
1875,Leeds,North West,2014,Admissions count: women,2314.0
1874,Kirklees,North West,2014,Admissions count: women,1057.0
1873,Hull,North West,2014,Admissions count: women,343.0
1872,East Riding Of Yorkshire,North West,2014,Admissions count: women,531.0
1871,Doncaster,North West,2014,Admissions count: women,662.0
1880,Sheffield,North West,2014,Admissions count: women,3158.0
1892,Coventry,West Midlands,2014,Admissions count: women,3324.0
1893,Dudley,West Midlands,2014,Admissions count: women,2436.0
1894,Heart Of Birmingham,West Midlands,2014,Admissions count: women,1550.0
1915,Mid Essex,West Midlands,2014,Admissions count: women,891.0
1914,Luton,West Midlands,2014,Admissions count: women,1364.0
1913,Hertfordshire,West Midlands,2014,Admissions count: women,6132.0
1912,Great Yarmouth & Waveney,West Midlands,2014,Admissions count: women,940.0
1911,Cambridgeshire,West Midlands,2014,Admissions count: women,1737.0
1910,Bedfordshire,West Midlands,2014,Admissions count: women,1242.0
1909,East Of England,West Midlands,2014,Admissions count: women,22001.0
1908,East Of England,West Midlands,2014,Admissions count: women,22001.0
1907,Worcestershire,West Midlands,2014,Admissions count: women,4443.0
1906,Wolverhampton,West Midlands,2014,Admissions count: women,1288.0
1905,Warwickshire,West Midlands,2014,Admissions count: women,2891.0
1904,Walsall,West Midlands,2014,Admissions count: women,1398.0
1903,Telford And Wrekin,West Midlands,2014,Admissions count: women,715.0
1902,Stoke-On-Trent,West Midlands,2014,Admissions count: women,719.0
1901,South Staffordshire,West Midlands,2014,Admissions count: women,2231.0
1900,South Birmingham,West Midlands,2014,Admissions count: women,2401.0
1899,Solihull,West Midlands,2014,Admissions count: women,308.0
1898,Shropshire,West Midlands,2014,Admissions count: women,906.0
1897,Sandwell,West Midlands,2014,Admissions count: women,1778.0
1896,North Staffordshire,West Midlands,2014,Admissions count: women,432.0
1895,Herefordshire,West Midlands,2014,Admissions count: women,240.0
1964,Berkshire West,West Sussex,2014,Admissions count: women,1255.0
1965,Buckinghamshire,West Sussex,2014,Admissions count: women,1202.0
1966,Hampshire,West Sussex,2014,Admissions count: women,3287.0
1967,Isle Of Wight,West Sussex,2014,Admissions count: women,286.0
2794,Rotherham,North West,2014,"Admissions per 100,000 population",555.262381846684
2793,North Yorkshire & York,North West,2014,"Admissions per 100,000 population",298.2519158586664
2792,North Lincolnshire,North West,2014,"Admissions per 100,000 population",286.76947158597585
2791,North East Lincolnshire,North West,2014,"Admissions per 100,000 population",720.9375911253948
2790,Leeds,North West,2014,"Admissions per 100,000 population",424.1470767287923
2789,Kirklees,North West,2014,"Admissions per 100,000 population",371.42114097926566
2788,Hull,North West,2014,"Admissions per 100,000 population",229.18675792490328
2787,East Riding Of Yorkshire,North West,2014,"Admissions per 100,000 population",280.27358048005067
2786,Doncaster,North West,2014,"Admissions per 100,000 population",365.327902455797
2795,Sheffield,North West,2014,"Admissions per 100,000 population",745.9819195441463
2785,Calderdale,North West,2014,"Admissions per 100,000 population",550.0318362149189
2783,Barnsley,North West,2014,"Admissions per 100,000 population",367.88648567054105
2782,Yorkshire And The Humber,North West,2014,"Admissions per 100,000 population",520.5729271065532
2781,Yorkshire And The Humber,North West,2014,"Admissions per 100,000 population",520.5729271065532
2780,Wirral,North West,2014,"Admissions per 100,000 population",1083.6769979708415
2779,Western Cheshire,North West,2014,"Admissions per 100,000 population",415.13462222749376
2778,Warrington,North West,2014,"Admissions per 100,000 population",355.68228347039354
2777,Trafford,North West,2014,"Admissions per 100,000 population",298.55872755855586
2776,Tameside,North West,2014,"Admissions per 100,000 population",742.5292625289464
2775,Stockport,North West,2014,"Admissions per 100,000 population",446.24417040596217
2784,Bradford & Airedale,North West,2014,"Admissions per 100,000 population",1492.0237423893407
2796,Wakefield District,North West,2014,"Admissions per 100,000 population",244.46057843416565
2797,Bassetlaw,East Midlands,2014,"Admissions per 100,000 population",378.75100661044394
2798,Derby,East Midlands,2014,"Admissions per 100,000 population",1013.8867130226598
2819,Walsall,West Midlands,2014,"Admissions per 100,000 population",750.9535328950298
2818,Telford And Wrekin,West Midlands,2014,"Admissions per 100,000 population",549.0586281926021
2817,Stoke-On-Trent,West Midlands,2014,"Admissions per 100,000 population",369.3296802515645
2816,South Staffordshire,West Midlands,2014,"Admissions per 100,000 population",532.4134112169609
2815,South Birmingham,West Midlands,2014,"Admissions per 100,000 population",840.7961041232867
2814,Solihull,West Midlands,2014,"Admissions per 100,000 population",225.27748772092664
2813,Shropshire,West Midlands,2014,"Admissions per 100,000 population",413.8609218906704
2812,Sandwell,West Midlands,2014,"Admissions per 100,000 population",825.7777260048796
